timestamp,syscall,pid,ppid,uid,exit,file,fd,buf,count,flags,mode
2024-11-19T14:24:54.768Z,read,2753,2,0,832,,1,7ffe4096fd68,832,,
2024-11-19T14:24:54.768Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735401472,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735417856,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721736015872,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721736085504,,,,,,
2024-11-19T14:24:54.768Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.768Z,openat,2753,2,0,1,/lib/x86_64-linux-gnu/libudev.so.1,,,,17694736,524288
2024-11-19T14:24:54.768Z,read,2753,2,0,832,,1,7ffe4096fd48,832,,
2024-11-19T14:24:54.768Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735217152,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735237632,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735352320,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735393280,,,,,,
2024-11-19T14:24:54.768Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.768Z,openat,2753,2,0,1,/lib/x86_64-linux-gnu/libsystemd.so.0,,,,17413680,524288
2024-11-19T14:24:54.768Z,read,2753,2,0,832,,1,7ffe4096fd28,832,,
2024-11-19T14:24:54.768Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721734500352,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721734565888,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735045120,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735196672,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721735213056,,,,,,
2024-11-19T14:24:54.768Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.768Z,openat,2753,2,0,1,/lib/x86_64-linux-gnu/libgcrypt.so.20,,,,17025520,524288
2024-11-19T14:24:54.768Z,read,2753,2,0,832,,1,7ffe4096fd08,832,,
2024-11-19T14:24:54.768Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721733328896,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721733378048,,,,,,
2024-11-19T14:24:54.768Z,mmap,2753,2,0,139721734221824,,,,,,
2024-11-19T14:24:54.520Z,rt_sigtimedwait,1064,1,0,14,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721734471680,,,,,,
2024-11-19T14:24:54.772Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.772Z,openat,2753,2,0,1,/lib/x86_64-linux-gnu/librt.so.1,,,,18555248,524288
2024-11-19T14:24:54.772Z,read,2753,2,0,832,,1,7ffe4096fca8,832,,
2024-11-19T14:24:54.772Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733287936,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733296128,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733312512,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733320704,,,,,,
2024-11-19T14:24:54.772Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.772Z,openat,2753,2,0,1,/lib/x86_64-linux-gnu/libgpg-error.so.0,,,,17458352,524288
2024-11-19T14:24:54.772Z,read,2753,2,0,832,,1,7ffe4096fc88,832,,
2024-11-19T14:24:54.772Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733144576,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733160960,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733238784,,,,,,
2024-11-19T14:24:54.772Z,mmap,2753,2,0,139721733279744,,,,,,
2024-11-19T14:24:54.772Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.776Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.780Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.780Z,mprotect,2753,2,0,0,,,,,,
2024-11-19T14:24:54.780Z,brk,2753,2,0,19214336,,,,,,
2024-11-19T14:24:54.780Z,futex,2753,2,0,0,,,,,,
2024-11-19T14:24:54.780Z,futex,2753,2,0,0,,,,,,
2024-11-19T14:24:54.780Z,munmap,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt,,,,,
2024-11-19T14:24:54.784Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt,,,,,
2024-11-19T14:24:54.784Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt,,,,,
2024-11-19T14:24:54.784Z,openat,2753,2,0,1,/usr/lib/python3/dist-packages/apt,,,,139721741084304,591872
2024-11-19T14:24:54.784Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,getdents64,2753,2,0,368,,,,,,
2024-11-19T14:24:54.784Z,getdents64,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.784Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/package.py,,,,,
2024-11-19T14:24:54.784Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/package.py,,,,,
2024-11-19T14:24:54.784Z,openat,2753,2,0,1,/usr/lib/python3/dist-packages/apt/__pycache__/package.cpython-38.pyc,,,,139721740933840,524288
2024-11-19T14:24:54.784Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,ioctl,2753,2,0,ENOTTY,,,,,,
2024-11-19T14:24:54.784Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.784Z,read,2753,2,0,49050,,1,123a250,49051,,
2024-11-19T14:24:54.784Z,read,2753,2,0,0,,1,12461ea,1,,
2024-11-19T14:24:54.784Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.784Z,mmap,2753,2,0,139721732882432,,,,,,
2024-11-19T14:24:54.788Z,stat,2753,2,0,0,/usr/share/apport,,,,,
2024-11-19T14:24:54.788Z,stat,2753,2,0,0,/usr/lib/python3.8,,,,,
2024-11-19T14:24:54.788Z,stat,2753,2,0,0,/usr/lib/python3.8/typing.py,,,,,
2024-11-19T14:24:54.788Z,stat,2753,2,0,0,/usr/lib/python3.8/typing.py,,,,,
2024-11-19T14:24:54.788Z,openat,2753,2,0,1,/usr/lib/python3.8/__pycache__/typing.cpython-38.pyc,,,,139721732884240,524288
2024-11-19T14:24:54.788Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.788Z,ioctl,2753,2,0,ENOTTY,,,,,,
2024-11-19T14:24:54.788Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.788Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.788Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.788Z,brk,2753,2,0,19361792,,,,,,
2024-11-19T14:24:54.788Z,read,2753,2,0,62420,,1,12471f0,62421,,
2024-11-19T14:24:54.788Z,read,2753,2,0,0,,1,12565c4,1,,
2024-11-19T14:24:54.788Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.792Z,mmap,2753,2,0,139721732620288,,,,,,
2024-11-19T14:24:54.796Z,munmap,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,ENOENT,/usr/lib/python3/dist-packages/apt/progress/__init__.cpython-38-x86_64-linux-gnu.so,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,ENOENT,/usr/lib/python3/dist-packages/apt/progress/__init__.abi3.so,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,ENOENT,/usr/lib/python3/dist-packages/apt/progress/__init__.so,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress/__init__.py,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress/__init__.py,,,,,
2024-11-19T14:24:54.796Z,openat,2753,2,0,1,/usr/lib/python3/dist-packages/apt/progress/__pycache__/__init__.cpython-38.pyc,,,,139721732999328,524288
2024-11-19T14:24:54.796Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,ioctl,2753,2,0,ENOTTY,,,,,,
2024-11-19T14:24:54.796Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,read,2753,2,0,517,,1,1209350,518,,
2024-11-19T14:24:54.796Z,read,2753,2,0,0,,1,1209555,1,,
2024-11-19T14:24:54.796Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress,,,,,
2024-11-19T14:24:54.796Z,openat,2753,2,0,1,/usr/lib/python3/dist-packages/apt/progress,,,,139721732914704,591872
2024-11-19T14:24:54.796Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,getdents64,2753,2,0,176,,,,,,
2024-11-19T14:24:54.796Z,getdents64,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,close,2753,2,0,0,,1,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress/text.py,,,,,
2024-11-19T14:24:54.796Z,stat,2753,2,0,0,/usr/lib/python3/dist-packages/apt/progress/text.py,,,,,
2024-11-19T14:24:54.796Z,openat,2753,2,0,1,/usr/lib/python3/dist-packages/apt/progress/__pycache__/text.cpython-38.pyc,,,,139721732999328,524288
2024-11-19T14:24:54.796Z,fstat,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,ioctl,2753,2,0,ENOTTY,,,,,,
2024-11-19T14:24:54.796Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,lseek,2753,2,0,0,,,,,,
2024-11-19T14:24:54.796Z,fstat,2753,2,0,0,,,,,,
